contract addresses and deployment tx hashes:
mnist_v1_sop6 deployed at addr=0x01f4bce996948aa64ef17e6cd53869896fef9e28f947199066fcc06f882a347c with tx_hash=0x475dc33c5f6ff92c431997992ba80eb432daeae5af88ddc6b311d5cb78c716d
mnist_v1_sop6_subsop0 deployed at addr=0x060745d42d6ff6eb8987cc6999495128915d3763c56613e368377bc0de67655d with tx_hash=0x342329d825f78b6105190cc5a9e0229e9429ff69f470e8f177cf6942a8519c0
mnist_v1_sop6_subsop1 deployed at addr=0x007ce3810d2dd372c36c20ecf279398e257ed46b546bc9abe2e8ed9d841a1a20 with tx_hash=0x1412de752fea1240772a9f151c65d6b3f5e4094a523213ece3a53347fa7b776
mnist_v1_sop6_subsop2 deployed at addr=0x0416b902f256d185db10f5825ef37b87fab8017ec230d95f336626aae6ac0291 with tx_hash=0x56ca0d45e6db7ade513c27c25c8f8b7e8f3edcc68b2d61e145f31dbe1d13e12
mnist_v1_sop6_subsop3 deployed at addr=0x068db9cc930cabea3b21e8dceb30e261388eb1ee5edd46ae316a5505e3e262fe with tx_hash=0x7f6450dd9ec82cb02380c17d2b7acc93c856efd5cc8db461ab712a81b5a04e5
mnist_v1_sop6_subsop4 deployed at addr=0x009f7ba711025d1e29d7b69c9a7f34a461060c30b1a6f84df9c2e96435fc520e with tx_hash=0x23fc042bb376dd469c0bc4449167e33242748e5b01c2024d51a7a264e431b02
mnist_v1_sop6_subsop5 deployed at addr=0x0382fbe6375294cba38a3aea52e79f4782b38bf96dae29bfb110daf661ac4d70 with tx_hash=0x1916e442e0a2c39320aaa93b1009ca463c9f89ae87d415f533328fe104b831f
mnist_v1_sop6_subsop6 deployed at addr=0x054515a09ec56dc74aabd2f14ad585ed4211889dc71ae3b4ba357fedf66cd564 with tx_hash=0x69e697cb8134d4e76519c20a6bfb39fa5846215ca535b520306157c361b14f6
mnist_v1_sop6_subsop7 deployed at addr=0x0787dd81786734a6ca0211f2cc7705b4e68a904d9a46a81bcfe13d81d472ad18 with tx_hash=0x1a86e534d41ec2b205158040f2154e3d0433c1dd958d5a6ffff9bb432d8cd02
mnist_v1_sop7 deployed at addr=0x011bf97354e37c81b02d9f75797e085b4527f271fa9705dee95f0880dc457274 with tx_hash=0x1a6c2d0b83b7f215452c3840d8f1726a32bc9d885e823ff6d282efc7da43d30
mnist_v1_sop7_subsop0 deployed at addr=0x02947da9e485855915892c307260223908d758b511bbda9730ea77a15845019c with tx_hash=0x181edfce790bfce0919e5b09ce6fd19254bfe200b02f214b28654501566d7bc
mnist_v1_sop7_subsop1 deployed at addr=0x069f8a1e50514798c337637324f8bed1eb9a5a15031769b870909d0c878ba128 with tx_hash=0xceaf36828dbe176552ca6f4b3ade7529695f29299b2b452cba2a64bcf3f50e
mnist_v1_sop7_subsop2 deployed at addr=0x050d838a698234cf6a32bbb4b91a90af96b92a9f7d8dad859ba6bc1f1c2e3de1 with tx_hash=0x1c6d95f75b4935591039eedc3c92dd9f52cd64a736676da6b0e08cb83beede1
mnist_v1_sop7_subsop3 deployed at addr=0x0189d7305fb620bee3f769725d0b1e11cb8cfe6655c4af3b72a51dd22d46798c with tx_hash=0x36c5c32af40d9dfc41ea6b46268dbd12cac3463ffc8fe50219e73bc3814953e
